Year,Temperature
1866,14.46 
1867,14.36 
1868,14.50 
1869,14.60 
1870,14.52 
1871,14.62 
1872,14.84 
1873,14.87 
1874,14.49 
1875,14.33 
1876,14.54 
1877,14.95 
1878,15.00 
1879,14.52 
1880,14.69 
1881,14.71 
1882,14.52 
1883,14.57 
1884,14.36 
1885,14.55 
1886,14.55 
1887,14.48 
1888,14.69 
1889,14.86 
1890,14.60 
1891,14.57 
1892,14.64 
1893,14.62 
1894,14.70 
1895,14.68 
1896,14.87 
1897,14.87 
1898,14.64 
1899,14.82 
1900,15.02 
1901,15.04 
1902,14.75 
1903,14.67 
1904,14.50 
1905,14.68 
1906,14.83 
1907,14.53 
1908,14.76 
1909,14.73 
1910,14.76 
1911,14.72 
1912,14.65 
1913,14.76 
1914,15.00 
1915,14.95 
1916,14.72 
1917,14.65 
1918,14.68 
1919,14.86 
1920,14.77 
1921,14.88 
1922,14.92 
1923,14.86 
1924,14.87 
1925,14.86 
1926,15.09 
1927,14.89 
1928,15.06 
1929,14.79 
1930,14.89 
1931,15.07 
1932,15.04 
1933,14.88 
1934,15.05 
1935,14.90 
1936,15.03 
1937,15.14 
1938,15.13 
1939,14.92 
1940,15.16 
1941,15.13 
1942,15.07 
1943,15.10 
1944,15.16 
1945,14.85 
1946,14.98 
1947,15.15 
1948,14.92 
1949,14.83 
1950,14.86 
1951,14.99 
1952,15.03 
1953,15.10 
1954,14.91 
1955,14.92 
1956,14.86 
1957,15.08 
1958,15.07 
1959,15.04 
1960,14.98 
1961,15.10 
1962,15.10 
1963,15.10 
1964,14.78 
1965,14.88 
1966,14.95 
1967,14.99 
1968,14.93 
1969,15.05 
1970,15.02 
1971,14.92 
1972,15.00 
1973,15.11 
1974,14.92 
1975,14.92 
1976,14.82 
1977,15.11 
1978,15.05 
1979,15.09 
1980,15.18 
1981,15.29 
1982,15.08 
1983,15.24 
1984,15.11 
1985,15.09 
1986,15.16 
1987,15.27 
1988,15.28 
1989,15.22 
1990,15.39 
1991,15.36 
1992,15.11 
1993,15.14 
1994,15.23 
1995,15.40 
1996,15.32 
